role,AA,EXT,AGR,CSN,EST,OPN,verbosity,deference,boldness,guardedness,warmth,groundedness,formality
cartographer,0.7123,0.0268,0.1603,0.0369,0.0035,0.1211,2.5294,0.0370,0.0715,-2.7380,0.3598,-0.5173,1.6923
caveman,-0.3810,-0.0235,0.0966,-0.0579,-0.1893,-0.3113,-0.2553,-0.0551,-0.2848,-0.7272,0.0963,-0.4914,-0.4736
celebrity,0.4438,0.0279,0.1830,-0.0067,-0.0207,0.0655,2.2504,0.3551,-0.0266,-1.9015,1.1984,-0.3406,0.3999
chameleon,0.1156,0.0197,0.1689,-0.0015,-0.0363,0.1367,2.5437,0.8094,-0.4603,-2.0049,0.8399,-0.9469,1.0831
chef,0.3150,0.0229,0.1814,0.0401,0.0049,0.1041,2.3399,0.0822,0.1332,-2.4205,0.8963,-0.5993,0.9631
chemist,0.7452,0.0141,0.1507,0.0429,0.0038,0.1286,2.4819,-0.0307,-0.0333,-2.6936,0.2425,-0.4616,1.6226
chimera,-0.5727,0.0398,0.1028,-0.0507,-0.0694,0.1489,2.4838,0.1872,-0.0841,-2.4175,0.2716,-1.8429,1.7336
coach,1.6497,0.0288,0.1336,-0.0126,-0.0058,0.0762,2.3539,0.1866,0.1559,-2.8360,0.7248,-0.0060,1.5091
collaborator,1.4571,0.0324,0.1749,-0.0184,-0.0155,0.0935,2.5039,0.4037,-0.0662,-2.6808,0.8883,0.0035,1.4208
collector,0.7269,0.0145,0.1414,0.0249,-0.0031,0.1389,2.5887,0.1529,0.1158,-2.6709,0.4773,-0.4906,1.7412
comedian,0.0030,0.0512,0.1546,-0.1179,-0.0776,0.0365,1.4046,-0.0307,-0.3585,-1.2690,0.6733,-0.5842,-0.3884
competitor,0.0578,0.0574,0.0220,0.1007,0.0055,0.2395,1.8899,-0.3226,0.6277,-1.7432,0.2571,-0.4278,0.4576
composer,0.0082,0.0452,0.1577,0.0501,0.0073,0.1814,2.6855,0.1632,0.0322,-2.6619,0.5158,-1.2492,1.7382
conservator,0.8194,0.0064,0.1534,0.0297,-0.0209,0.0703,2.5709,0.2047,0.0325,-2.7229,0.5192,-0.2941,1.7785
consultant,1.8263,0.0312,0.1182,-0.0074,-0.0258,0.0760,2.4027,-0.0365,0.1638,-2.9429,0.2958,0.0602,1.8391
contrarian,0.2940,-0.0890,-0.0200,-0.1470,0.0446,0.0458,2.2567,-0.5406,0.0295,-1.9421,0.3290,-0.6275,1.1319
coordinator,1.6167,0.0409,0.1509,-0.0015,-0.0247,0.0679,2.4325,0.0742,0.1475,-2.8942,0.4789,0.0479,1.7047
coral_reef,-0.3918,0.0262,0.1869,-0.0002,0.0229,0.1387,2.4945,0.2218,0.1246,-2.6394,0.4378,-1.3547,1.6556
cosmopolitan,0.7136,0.0250,0.1554,-0.0170,0.0296,0.1798,2.6471,0.2241,0.0758,-2.7170,0.7291,-0.6799,1.5501
counselor,1.4523,0.0132,0.1437,-0.0390,-0.0347,0.0645,2.5684,0.5705,-0.1372,-2.6788,1.0643,-0.1997,1.5274
criminal,-0.4784,-0.0915,0.0611,-0.0457,-0.0825,-0.0094,1.4213,-0.3244,-0.1608,-0.9603,0.3794,-0.6368,-0.3523
critic,1.0843,0.0226,0.1086,-0.0099,-0.0317,0.1377,2.7540,-0.0389,0.1393,-2.9267,0.2231,-0.5700,1.9991
crystalline,-0.7979,0.0597,0.1174,0.1159,0.0481,0.2194,2.4207,0.2456,0.0458,-2.5880,-0.6042,-2.0933,2.3301
curator,0.8241,0.0581,0.1385,0.0115,-0.0058,0.1425,2.5719,0.1597,0.0859,-2.7379,0.4935,-0.5610,1.7462
cyborg,0.9338,0.0259,0.1583,0.0006,-0.0153,0.1647,2.5282,0.1303,0.0597,-2.8870,-0.0874,-0.5832,2.0427
cynic,-0.0827,-0.1581,-0.1275,-0.0769,-0.1454,-0.2012,1.4296,-0.3669,0.0598,-0.9009,-0.0303,-0.4543,0.1666
daredevil,-0.3408,0.1086,0.0529,-0.0500,-0.0243,0.1985,1.8226,-0.3859,0.3277,-1.7353,0.6147,-0.9386,0.0039
debugger,1.5268,0.0113,0.1275,0.0043,-0.0218,0.0763,2.3764,-0.1120,0.0890,-2.9106,0.1721,-0.0319,1.7582
demon,-1.0508,0.0455,0.0142,-0.1306,-0.1142,0.1288,2.2500,0.0479,-0.1548,-1.8195,0.0108,-2.1348,1.4684
designer,1.3224,0.0337,0.1466,0.0062,-0.0096,0.1109,2.4169,0.0088,0.1658,-2.9160,0.5194,-0.2246,1.5892
destroyer,0.2656,-0.0032,0.0180,-0.0735,-0.0204,0.1349,2.3359,-0.3223,0.4768,-2.6138,0.1745,-0.8434,1.5483
detective,0.9919,0.0051,0.1353,0.0249,-0.0210,0.0939,2.4667,-0.0765,0.0718,-2.7310,0.1374,-0.3178,1.7754
devils_advocate,0.6430,-0.0842,0.0190,-0.1453,0.0050,-0.0160,2.3661,-0.3890,-0.2992,-2.0576,0.2781,-0.5080,1.3758
dilettante,0.0348,0.0403,0.1471,-0.0483,-0.0291,0.2354,2.5412,0.5391,-0.6551,-1.8999,0.8074,-0.9950,0.7766
dispatcher,1.2623,0.0228,0.1520,0.0242,-0.0201,0.0618,2.3114,0.0720,0.1434,-2.6759,0.3145,-0.0184,1.5964
divorcee,0.6979,0.0112,0.1771,-0.0639,0.0154,0.0196,2.0380,0.2870,-0.0428,-1.8398,1.2613,-0.0510,0.3253
doctor,1.5988,0.0022,0.1611,0.0043,-0.0216,0.0656,2.4074,0.0722,0.1052,-2.8065,0.5407,0.0369,1.6497
dreamer,-0.8002,0.0859,0.1195,-0.0349,0.0008,0.2639,2.8001,0.3650,0.0927,-2.6035,0.5180,-2.3945,1.7793
echo,-0.9249,-0.0006,0.1254,0.0111,-0.0386,0.1615,2.5875,0.2233,-0.0083,-2.5501,0.1022,-2.5865,2.0575
economist,1.3774,0.0267,0.1335,-0.0120,-0.0054,0.1119,2.4733,-0.2123,0.0954,-2.8712,0.0482,-0.1049,1.8106
ecosystem,0.4937,0.0359,0.1830,0.0066,0.0242,0.1390,2.6333,0.1815,0.1577,-3.0481,0.4443,-0.9225,1.8887
editor,1.4012,0.0185,0.1108,0.0101,-0.0159,0.1061,2.4684,0.1364,0.0505,-2.6853,0.4106,-0.1129,1.7638
egregore,0.0635,0.0370,0.1253,-0.0264,-0.0345,0.1793,2.7610,0.3652,0.1086,-2.8003,0.1986,-1.5483,2.0657
elder,0.2052,-0.0059,0.1684,-0.0428,-0.0107,0.0714,2.4092,0.1929,0.1018,-2.3373,1.1122,-0.8413,1.0638
eldritch,-1.5450,0.0251,0.0310,-0.0029,-0.0387,0.3134,2.6250,0.2352,-0.2127,-2.1847,-0.6778,-3.3956,2.3144
emissary,1.1987,0.0243,0.1585,-0.0209,-0.0010,0.1074,2.6966,0.2545,0.0361,-2.9916,0.6569,-0.3980,1.9214
empath,0.2804,0.0099,0.1975,-0.0324,-0.0708,0.1276,2.7499,0.9191,-0.1711,-2.5755,1.2436,-1.2224,1.4780
engineer,1.4393,0.0203,0.1294,0.0251,-0.0038,0.1069,2.3327,-0.1470,0.1277,-2.8857,0.0333,-0.0100,1.7842
entrepreneur,1.2551,0.0210,0.1425,-0.0110,0.0012,0.1529,2.3318,-0.1493,0.3757,-2.7381,0.5887,-0.0984,1.3456
evaluator,1.7450,0.0319,0.1195,-0.0135,-0.0209,0.0864,2.4281,-0.0822,0.0919,-2.9947,0.0844,0.0519,1.9539
evangelist,0.3294,0.0784,0.1696,0.0032,0.0302,0.3285,2.6380,0.2559,0.4575,-2.7873,1.1434,-1.0923,1.0668
examiner,1.6040,0.0109,0.1041,0.0291,-0.0220,0.0858,2.4332,-0.0437,0.0879,-2.8437,-0.1131,0.0821,2.1039
exile,-0.5464,-0.0375,0.1239,-0.0615,-0.0705,0.0295,2.2163,0.1763,-0.1368,-1.8608,0.6995,-1.3273,1.2383
expatriate,1.0467,-0.0046,0.1581,-0.0363,0.0147,0.0839,2.3467,0.0996,0.0487,-2.4345,0.8633,-0.1303,1.0733
facilitator,1.5435,0.0263,0.1299,-0.0266,-0.0276,0.0564,2.4372,0.3301,-0.0817,-2.7328,0.7887,-0.0386,1.5762
familiar,-0.2755,0.0168,0.1340,0.0126,-0.0215,0.1980,2.7038,0.4323,0.0630,-2.6656,0.1666,-1.8505,2.1509
fixer,0.0251,-0.0480,0.0911,-0.0083,-0.0324,0.0987,2.0948,-0.0243,-0.0494,-1.7600,0.2016,-0.7528,1.2016
flaneur,-0.6115,0.0435,0.1347,-0.0609,-0.0434,0.1973,2.6520,0.1206,-0.0170,-2.3079,0.3954,-1.7134,1.5180
fool,-0.1099,0.0239,0.2454,-0.1481,-0.0780,-0.0986,1.0737,0.4219,-1.2630,-0.5838,1.0593,-0.3963,-1.0443
forecaster,1.4566,0.0337,0.1179,-0.0141,-0.0124,0.1082,2.4682,-0.1072,0.1394,-2.9559,0.1006,-0.2111,1.8691
futurist,1.2417,0.0331,0.1105,-0.0163,0.0051,0.1936,2.5505,-0.1216,0.2238,-3.0005,0.1942,-0.4632,1.8265
gamer,0.0615,0.0442,0.1875,0.0935,0.0362,0.1458,2.1370,-0.0198,0.1679,-2.3414,0.2794,-0.8473,0.7010
generalist,1.3865,0.0180,0.1374,-0.0089,0.0038,0.1649,2.5693,-0.0593,0.0596,-2.9997,0.3160,-0.3709,1.7864
genie,-1.0365,0.0586,0.0948,-0.0647,-0.0429,0.2430,2.3449,0.0768,-0.1752,-2.0469,0.1805,-2.2522,1.5422
geographer,1.0196,0.0305,0.1535,-0.0052,-0.0055,0.1186,2.6001,0.0030,0.0194,-2.8167,0.3749,-0.3105,1.6723
ghost,-0.9351,-0.0084,0.1297,-0.0331,-0.0591,0.1682,2.5669,0.1920,-0.0216,-2.4013,0.1831,-2.4499,1.9427
golem,-0.8827,-0.0370,0.1263,0.0278,-0.0125,0.0933,2.2925,0.3128,-0.0853,-2.1816,-0.1330,-1.9280,2.0199
gossip,0.0185,0.0310,0.0962,-0.0577,-0.1111,0.0790,1.8384,0.2663,-0.4371,-1.1255,0.9032,-0.5296,-0.4916
grader,1.5574,0.0247,0.1114,0.0109,-0.0180,0.1195,2.3847,0.0741,0.0319,-2.6976,0.2086,0.0521,1.8132
graduate,1.1730,0.0137,0.1609,-0.0684,-0.0291,0.0600,2.2149,0.1784,-0.1218,-2.1425,0.9353,0.0743,0.6269
grandparent,0.2224,0.0182,0.2132,-0.0140,0.0012,0.0195,2.0238,0.5247,-0.2072,-1.7261,1.5517,-0.3177,0.0836
guardian,1.1152,0.0019,0.1644,0.0083,-0.0291,0.0804,2.5414,0.2025,0.2070,-2.8245,0.7174,-0.3143,1.7102
guide,1.2340,0.0168,0.1493,-0.0147,-0.0245,0.0859,2.4481,0.1256,0.1019,-2.7854,0.6517,-0.3264,1.5827
guru,-0.1472,-0.0043,0.1498,-0.0123,0.0300,0.1926,2.6905,0.3641,0.1438,-2.7030,0.8013,-1.7049,1.7748
hacker,0.2685,-0.0446,0.1014,-0.0040,-0.0238,0.2169,2.2526,-0.2220,0.1666,-2.2799,0.2570,-0.6253,1.1142
healer,0.9051,0.0187,0.1718,-0.0140,0.0092,0.1415,2.6245,0.4212,0.1285,-2.9161,0.9881,-0.6512,1.6569
hedonist,-0.2936,0.1617,0.0903,-0.0830,0.0167,0.1304,2.4424,0.2164,0.1781,-2.2362,0.6222,-1.3567,0.9989
hermit,-0.9212,-0.1527,0.0744,-0.0317,0.0154,0.0557,2.2692,0.2965,-0.1214,-1.8992,0.5241,-1.8336,1.6098
historian,0.8975,0.0115,0.1214,0.0012,0.0123,0.1325,2.6964,-0.0482,0.0700,-2.7735,0.2709,-0.5302,1.8772
hive,0.3977,0.0219,0.1227,-0.0034,-0.0151,0.1773,2.5596,0.2715,0.0631,-2.6623,-0.4090,-1.0333,2.2820
hoarder,-0.1657,0.0635,0.0982,-0.0981,-0.1616,0.0426,1.6809,0.6713,-1.1003,-0.6733,0.5736,-0.3141,0.3476
homunculus,-0.7468,-0.0152,0.1043,0.0257,0.0076,0.2358,2.6952,0.2161,0.0033,-2.5068,-0.0139,-1.9543,2.0612
hybrid,0.4305,-0.0025,0.1702,-0.0180,0.0296,0.2051,2.6925,0.2862,-0.0088,-2.8394,0.7239,-0.9491,1.6177
idealist,0.3583,0.0314,0.1772,0.0087,0.0336,0.2862,2.8027,0.3229,0.3687,-2.8327,1.0385,-0.9381,1.5338
immigrant,0.5256,-0.0129,0.1821,-0.0386,0.0149,0.0682,2.3938,0.3215,-0.0438,-2.3248,1.1375,-0.2938,0.9842
improviser,-0.1020,0.0463,0.2047,-0.0839,-0.0252,0.1370,1.9712,0.3337,-0.4618,-1.5454,1.1897,-0.8858,-0.0549
infant,0.1063,-0.0159,0.0881,-0.1329,-0.3584,-0.4402,0.2305,0.3460,-0.8780,-0.4954,0.0207,-0.5945,0.0908
influencer,1.0649,0.0350,0.1379,-0.0176,-0.0212,0.1351,2.2097,0.1786,0.1977,-2.3667,1.0177,-0.1798,0.4671
instructor,1.8690,0.0324,0.1195,-0.0059,-0.0300,0.0643,2.3125,0.0030,0.1134,-2.8927,0.3553,0.1433,1.6824
interpreter,1.2831,0.0116,0.1418,-0.0224,-0.0224,0.1139,2.6128,0.1675,-0.0478,-2.9073,0.5819,-0.3851,1.7669
interviewer,0.9861,-0.0041,0.0878,-0.0282,-0.0518,0.0088,2.3225,0.6198,-0.5361,-1.5968,0.6609,0.0010,1.3229
jester,-0.7487,0.0501,0.0966,-0.0979,-0.0961,0.0710,1.8698,0.0205,-0.4164,-1.6554,0.5304,-1.6732,0.4640
journalist,1.2948,0.0012,0.1191,0.0039,-0.0182,0.0836,2.4583,0.0095,0.0095,-2.4957,0.3406,-0.0290,1.6457
judge,1.1394,-0.0013,0.1325,0.0111,-0.0248,0.0789,2.5786,0.1025,0.0648,-2.7294,0.1853,-0.2612,2.0899
lawyer,1.4746,0.0041,0.1307,0.0109,-0.0416,0.0607,2.4813,-0.0685,0.0979,-2.7852,0.2025,-0.0082,1.9070
leviathan,-1.4915,-0.0373,0.0690,0.0044,-0.0222,0.1894,2.3108,0.1091,0.1169,-2.0816,-0.3142,-2.7909,1.9364
librarian,1.3051,0.0160,0.1342,0.0345,-0.0109,0.1338,2.4661,0.1827,-0.0561,-2.6778,0.3722,-0.1670,1.7437
linguist,1.0250,0.0141,0.1373,0.0265,-0.0107,0.1350,2.6345,0.0838,-0.1689,-2.7577,0.2859,-0.3981,1.6721
loner,0.0625,-0.2547,-0.0694,0.0307,-0.0066,-0.0319,1.9051,0.1162,-0.2400,-1.1371,0.1603,-0.4478,1.0960
luddite,-0.5443,-0.1309,-0.0426,-0.0719,-0.0525,-0.2599,1.6776,-0.2165,0.1484,-1.2528,0.5657,-0.8276,0.4945
marketer,1.5313,0.0324,0.1464,0.0031,-0.0067,0.0975,2.3540,-0.0611,0.2244,-2.8479,0.4491,-0.0556,1.5198
martyr,-0.3798,-0.0594,0.1541,-0.0522,-0.0348,0.1560,2.4963,0.2872,0.1826,-2.4008,0.7412,-1.2553,1.5931
mathematician,0.7457,0.0222,0.1365,0.0492,0.0147,0.1859,2.5233,-0.0879,-0.0836,-2.7489,0.0194,-0.5748,1.8052
maverick,0.0004,0.0056,0.0214,-0.1098,0.0168,0.2193,2.1678,-0.5524,0.4526,-2.1818,0.5271,-1.0129,0.7472
mechanic,0.4274,-0.0396,0.1984,0.0465,-0.0070,0.0342,1.9733,-0.0975,-0.0263,-1.9879,0.7112,-0.0907,0.3922
mediator,1.4692,0.0142,0.1432,-0.0259,-0.0163,0.0534,2.5165,0.3526,-0.1290,-2.7488,0.7579,-0.0596,1.6994
mentor,1.6545,0.0238,0.1297,-0.0155,-0.0149,0.0822,2.4078,0.0842,0.1851,-2.8471,0.6629,-0.0417,1.5871
merchant,0.6550,0.0147,0.1693,0.0028,0.0037,0.0813,2.4736,0.0434,0.1862,-2.6001,0.5893,-0.4070,1.4913
minimalist,0.4627,-0.1148,0.0810,-0.0424,0.0777,-0.0436,1.9441,0.0785,0.3069,-2.1460,0.7228,-0.3059,1.1221
moderator,1.5476,0.0218,0.1195,-0.0083,-0.0298,0.0378,2.4549,0.4268,-0.1928,-2.5762,0.7522,-0.0062,1.6141
musician,-0.2052,0.0559,0.1988,0.0395,-0.0063,0.1571,2.4977,0.2931,-0.0161,-2.4600,0.9420,-1.3861,1.0588
mycorrhizal,-0.6391,0.0082,0.1764,-0.0277,0.0263,0.1389,2.5183,0.2028,0.0867,-2.6688,0.2487,-1.6000,1.8135
mystic,-0.6908,0.0160,0.1390,0.0201,0.0336,0.2721,2.8835,0.4158,0.2183,-2.8390,0.6520,-2.3588,1.9274
narcissist,-0.4593,0.1421,-0.1724,0.0609,-0.0387,0.2794,2.0726,1.0401,0.0077,-0.9891,0.1010,-0.9657,0.8058
narrator,-0.5281,0.0319,0.1450,-0.0016,-0.0448,0.2237,2.8894,0.3071,0.0808,-2.4525,0.6009,-2.2016,1.7054
naturalist,0.3129,-0.0020,0.1860,0.0305,0.0511,0.1861,2.6029,0.0776,0.0942,-2.7703,0.5349,-0.7699,1.6458
navigator,0.9831,0.0249,0.1697,0.0150,-0.0020,0.0992,2.4276,0.0535,0.1506,-2.7730,0.4500,-0.3930,1.6475
negotiator,1.4087,0.0213,0.1556,-0.0134,-0.0075,0.0771,2.5191,0.0996,0.0927,-2.9212,0.5865,-0.0942,1.7921
networker,1.2275,0.0383,0.1699,-0.0127,0.0058,0.1220,2.4584,0.2252,0.1361,-2.6896,0.8020,-0.1472,1.4195
newlywed,0.8470,0.0285,0.1885,-0.0350,0.0263,0.0664,2.1043,0.4586,-0.1862,-1.9697,1.2806,0.0970,0.3693
nomad,-0.0760,0.0225,0.1366,-0.0762,0.0175,0.1074,2.2876,0.0747,0.1051,-2.2245,0.8641,-0.9857,0.9756
novelist,0.0729,0.0313,0.1442,-0.0148,-0.0270,0.1938,2.7594,0.1294,0.0598,-2.5592,0.5710,-1.3399,1.6094
nutritionist,1.3838,-0.0008,0.1497,0.0142,0.0129,0.0528,2.3471,0.1109,0.0310,-2.5984,0.5892,-0.0026,1.4927
observer,1.3405,0.0043,0.1129,-0.0216,-0.0277,0.0687,2.5256,0.1755,-0.1492,-2.5965,-0.0139,-0.1278,2.0065
optimist,0.9066,0.1065,0.2127,0.0060,0.1109,0.2453,2.5847,0.7315,0.1311,-2.5741,1.4224,-0.4823,0.9856
oracle,-0.8383,0.0402,0.1134,0.0191,-0.0432,0.2043,2.5812,0.3255,0.1232,-2.5902,0.1109,-2.7451,2.1087
organizer,1.8187,0.0341,0.1212,0.0165,-0.0196,0.0635,2.2731,-0.0185,0.1697,-2.9176,0.1837,0.1426,1.7917
orphan,0.4503,-0.0052,0.1861,-0.0169,0.0042,0.0740,1.9930,0.1190,0.0092,-1.7989,1.2236,-0.0907,0.1352
pacifist,0.7717,-0.0246,0.2226,-0.0193,0.0663,0.1486,2.7489,0.5138,0.0350,-2.9449,1.1597,-0.5243,1.6518
paramedic,1.1049,-0.0052,0.1781,-0.0009,-0.0322,0.0362,2.2170,0.0459,0.1145,-2.4968,0.6824,0.0133,1.1792
parasite,-0.4138,0.0149,0.1298,-0.0386,-0.0221,0.1142,2.3763,0.1137,-0.1415,-2.2164,0.1196,-1.0695,1.4350
parent,0.9909,0.0092,0.1833,-0.0318,-0.0279,0.0423,2.0888,0.2607,-0.0219,-2.1444,1.2697,0.0545,0.4593
patient,0.8870,-0.0514,0.1954,-0.0643,-0.1002,-0.0550,2.0230,0.3556,-0.2649,-1.7967,1.2029,0.1492,0.4356
peacekeeper,1.3717,0.0128,0.1806,-0.0184,0.0105,0.0777,2.6181,0.3123,-0.0109,-2.9577,0.8417,-0.1830,1.7241
perfectionist,0.5976,-0.0489,0.0881,0.1619,-0.0407,0.2311,2.6019,0.0926,0.1906,-2.4813,-0.1625,-0.4801,2.1028
pharmacist,1.3353,-0.0108,0.1668,0.0209,-0.0223,0.0720,2.3620,0.1288,0.0305,-2.6466,0.5651,0.0237,1.5736
philosopher,0.4527,-0.0343,0.1190,-0.0135,-0.0180,0.1906,3.0661,0.0377,-0.0714,-2.9430,0.2416,-1.1486,2.1773
photographer,-0.1007,0.0337,0.1786,0.0083,0.0014,0.1803,2.3833,0.1618,0.0891,-2.3794,0.7301,-1.0614,1.2978
physicist,0.6253,0.0082,0.1480,0.0445,0.0196,0.1651,2.5585,-0.1017,-0.0099,-2.7779,0.1020,-0.6060,1.7078
pilgrim,-0.7978,0.0076,0.1763,-0.0129,0.0333,0.1964,2.7479,0.5654,0.0755,-2.6356,0.9248,-2.1583,1.7670
pilot,0.8912,-0.0057,0.1889,0.0573,-0.0056,0.0977,2.3032,-0.0243,0.1803,-2.5578,0.4674,-0.1381,1.4050
pirate,-0.2895,0.0143,0.1357,-0.0115,-0.0141,0.0502,2.0634,-0.1695,-0.0777,-2.0947,0.6920,-1.3011,0.1121
planner,1.8311,0.0333,0.1301,0.0030,-0.0249,0.0526,2.3056,-0.0607,0.1423,-2.9448,0.1722,0.1459,1.7997
playwright,0.2931,0.0617,0.1385,0.0033,-0.0522,0.1451,2.4488,0.0890,0.1254,-2.4931,0.6535,-0.9778,1.3697
podcaster,0.6852,-0.0050,0.1283,-0.0323,-0.0327,0.1209,2.5727,0.4137,-0.1800,-2.1857,1.0911,-0.4664,0.9873
poet,-0.9838,0.0684,0.1690,0.0331,-0.0594,0.2550,2.5111,0.2022,-0.0170,-2.6257,0.3541,-3.2294,1.6760
polymath,1.2394,0.0194,0.1320,0.0093,-0.0048,0.1941,2.6786,-0.0509,0.0797,-3.0888,0.1538,-0.5797,1.9919
pragmatist,1.3553,-0.0068,0.0891,0.0098,0.0132,-0.0709,2.0711,-0.2230,0.1599,-2.4180,0.1640,0.2723,1.2482
predator,-0.5662,-0.0537,0.1311,0.0346,-0.0042,0.1428,2.1991,0.0951,0.0749,-2.1175,-0.1109,-1.2572,1.6414
presenter,1.4706,0.0312,0.1334,-0.0016,-0.0238,0.0941,2.3673,0.1865,0.0866,-2.6869,0.7099,-0.1330,1.3941
prey,-0.1967,-0.1401,0.1621,0.0439,-0.1533,-0.1418,1.8655,0.3712,-0.8152,-1.4275,0.4097,-0.7143,0.8535
prisoner,0.1004,-0.0656,0.1646,-0.0664,-0.0813,-0.0260,1.5491,-0.0781,-0.1141,-1.3288,0.9788,-0.1695,-0.4970
procrastinator,0.4014,0.0483,0.0612,-0.3341,-0.2191,-0.1206,1.4190,0.9033,-1.6654,0.2444,0.7171,0.0897,-0.5100
prodigy,1.0552,0.0186,0.1261,0.0224,-0.0153,0.2633,2.7411,0.0344,0.1383,-2.9381,0.1165,-0.5838,1.9855
